"artist","song","first_name","last_name","user_id","item_in_session","session_id"
"Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner","Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile)","Mohammad","Rodriguez","88","0","961"
"Jimi Hendrix","Woodstock Inprovisation","Mohammad","Rodriguez","88","1","961"
"Building 429","Majesty (LP Version)","Mohammad","Rodriguez","88","2","961"
"The B-52's","Love Shack","Gianna","Jones","38","0","107"
"Die Mooskirchner","Frisch und g'sund","Gianna","Jones","38","1","107"
"Carrie Underwood","Look At Me","Gianna","Jones","38","2","107"
"No Te Va Gustar","Ya EntendÃÂ­","Kaylee","Summers","8","0","833"
"The Velvet Underground / Nico","All Tomorrow's Parties","Kaylee","Summers","8","1","833"
"Snoop Dogg / Jamie Foxx","Psst!","Kaylee","Summers","8","2","833"
"Dixie Chicks","There's Your Trouble","Kaylee","Summers","8","3","833"
"Linkin Park","Given Up (Album Version)","Kaylee","Summers","8","5","833"
"Alice In Chains","Take Her Out","Kevin","Arellano","66","0","934"
"Florence + The Machine","My Boy Builds Coffins","Anabelle","Simpson","69","1","926"
"Spoon","The Mystery Zone","Theodore","Smith","52","0","968"
"Alice In Chains","Would?","Aiden","Hess","86","1","917"
"Natalie Walker","Colorblind","Aiden","Hess","86","2","917"
"Traveling Wilburys","End Of The Line","Ava","Robinson","50","0","940"
"Cherokee","Relax","Chloe","Cuevas","49","0","960"
"NOFX","The Decline","Chloe","Cuevas","49","1","960"
"Cameo","Word Up!","Chloe","Cuevas","49","2","960"
"Natalia Lafourcade","Look Outside","Layla","Griffin","24","0","879"
"J Dilla","Won't Do","Layla","Griffin","24","1","879"
"Sergio Mendes","Never Gonna Let You Go","Layla","Griffin","24","2","879"
"Jarabe De Palo","En Lo Puro No Hay Futuro","Layla","Griffin","24","3","879"
"Carrie Underwood","I Told You So","Layla","Griffin","24","4","879"
"Enigma","Je T'aime Till My Dying Day","Elijah","Davis","5","0","138"
"Kelly Clarkson","The Trouble With Love Is","Layla","Griffin","24","5","879"
"Timbaland & Magoo","Put 'Em On","Layla","Griffin","24","6","879"
"The Wombats","Tales of Girls_ Boys and Marsupials (album version)","Elijah","Davis","5","1","138"
"Andrew Bird","Skin Is_ My","Elijah","Davis","5","2","138"
"Colin James","Just Came Back","Layla","Griffin","24","8","879"
"Los Wawanco","La Casita Blanca","Rylan","George","16","0","871"
"Dancing DJ's v Roxette","Fading Like A Flower (Extended Mix)","Layla","Griffin","24","9","879"
"Robert Rich & Alio Die","Sirena","Layla","Griffin","24","10","879"
